,user,text,favourite_count,retweet_count,created_at
57,elonmusk,@teslaownersSV @chicago_glenn @stillgray @dcherring @nichegamer Fasting + Ozempic/Wegovy + no tasty food near me,4395,281,2022-11-16 06:36:21+00:00
58,elonmusk,@chicago_glenn @stillgray @dcherring @nichegamer Down 30 lbs!,5595,192,2022-11-16 06:33:50+00:00
59,elonmusk,@jhall @stillgray @dcherring @nichegamer @Forbes Yup,2412,110,2022-11-16 06:33:19+00:00
60,elonmusk,@wongmjane 😉,23944,809,2022-11-16 06:07:05+00:00
61,elonmusk,"@stevenmarkryan My apologies, this will be fixed within a week, two at most",5328,236,2022-11-16 05:52:20+00:00
62,elonmusk,@stillgray @dcherring @nichegamer Agreed. What will matter in the future is how many Verified followers you have.,6375,501,2022-11-16 05:43:18+00:00
63,elonmusk,@teslaownersSV We’ll widen V11 beta before Thanksgiving,11828,776,2022-11-16 01:34:35+00:00
64,elonmusk,@dcherring @nichegamer Hard to say who’s celeb &amp; who isn’t. Being able to sort by follower count &amp; disallowing deliberate impersonation probably solves this.,4812,285,2022-11-16 01:24:51+00:00
65,elonmusk,@nichegamer All unpaid legacy Blue checkmarks will be removed in a few months,14768,1666,2022-11-16 00:03:07+00:00
66,elonmusk,"@RationalBlonde With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",9968,594,2022-11-15 23:26:28+00:00
67,elonmusk,@RationalBlonde 🤣,12024,262,2022-11-15 23:24:25+00:00
68,elonmusk,@TweetsOfJee @RationalBlonde 🤣,24649,617,2022-11-15 23:23:37+00:00
69,elonmusk,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,221436,15125,2022-11-15 23:18:02+00:00
70,elonmusk,@business False,171553,7720,2022-11-15 23:02:52+00:00
71,elonmusk,@mrjasonchoi @nytimes Interesting thread,12189,635,2022-11-15 22:57:09+00:00
72,elonmusk,"@SenBillNelson @NASA @SpaceX Much appreciated, SpaceX will not let NASA down!",42532,2350,2022-11-15 22:54:56+00:00
73,elonmusk,Important to admit when I’m wrong &amp; firing them was truly one of my biggest mistakes,454557,20479,2022-11-15 20:43:17+00:00
74,elonmusk,Welcoming back Ligma &amp; Johnson! https://t.co/LEhXV95Njj,746423,48370,2022-11-15 20:40:54+00:00
75,elonmusk,@BillyM2k Actual Silicon Valley is way crazier!,10531,571,2022-11-15 19:50:14+00:00
76,elonmusk,"@waitbutwhy This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",14818,1028,2022-11-15 19:36:37+00:00
77,elonmusk,@jack @micsolana 💯,8297,298,2022-11-15 19:31:39+00:00
78,elonmusk,@elonchieftwit False,3262,165,2022-11-15 19:29:21+00:00
79,elonmusk,@mualphaxi @micsolana @JTLonsdale @SenMarkey Much appreciated,11661,551,2022-11-15 19:28:37+00:00
80,elonmusk,@presidentbison @schrep Schrep is great,1951,78,2022-11-15 18:22:20+00:00
81,elonmusk,@libsoftiktok A tragic case of adult onset Tourette’s,72390,3847,2022-11-15 18:18:29+00:00
82,elonmusk,@catturd2 @WholeMarsBlog You make a compelling case,27287,1169,2022-11-15 18:14:09+00:00
83,elonmusk,@micsolana The injustice of it all 😭😭,35967,1339,2022-11-15 17:47:05+00:00
84,elonmusk,@ajtourville @unusual_whales Seriously,9420,248,2022-11-15 17:37:55+00:00
85,elonmusk,@chriskatje @unusual_whales Ligma &amp; Johnson are welcome back anytime,32548,1468,2022-11-15 17:32:41+00:00
86,elonmusk,@unusual_whales I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,291311,19357,2022-11-15 17:24:45+00:00
87,elonmusk,@MuskUniversity (cue Obama giving himself a medal meme),4830,251,2022-11-15 17:15:42+00:00
88,elonmusk,@MuskUniversity Exactly,13175,586,2022-11-15 17:15:03+00:00
89,elonmusk,@schrep Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,2475,109,2022-11-15 17:10:29+00:00
90,elonmusk,"@schrep True. Server side can (and has been) brute-forced, but that can’t solve weak Internet connections &amp; older phones.

Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",2374,152,2022-11-15 17:09:10+00:00
91,elonmusk,"@WholeMarsBlog Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",127529,8406,2022-11-15 17:04:47+00:00
92,elonmusk,"@schrep There are ~1200 “microservices” server side, of which ~40 are critical to Twitter working at all, according to server control team. 

Trimming down that 1200 number, reducing data usage, serialized trips &amp; simplifying app are all needed to improve speed of use.",2626,203,2022-11-15 16:53:12+00:00
93,elonmusk,"@schrep Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not “claim”.

10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn’t work at all, especially on Android phones.

Only question is how much delay is due to bandwidth/latency/app.",21078,1568,2022-11-15 16:44:31+00:00
94,elonmusk,@Umbisam Mr. Munger’s words are much appreciated,30345,1377,2022-11-15 16:33:15+00:00
95,elonmusk,@mayemusk @Twitter @instagram @Fidias0 🤗,11138,481,2022-11-15 16:28:12+00:00
96,elonmusk,@minliangtan @wlopwangling Malenia battle was next-level intense,3488,156,2022-11-15 10:25:50+00:00
97,elonmusk,"@minliangtan @wlopwangling Yes, although it seemed almost impossible at times",3605,130,2022-11-15 10:25:06+00:00
98,elonmusk,@waitbutwhy The ratings on this simulation are incredible,28718,1273,2022-11-15 10:23:22+00:00
99,elonmusk,@wlopwangling Definitely,25304,852,2022-11-15 10:17:39+00:00
100,elonmusk,@Popeska @sampullara Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,2882,191,2022-11-15 10:14:19+00:00
101,elonmusk,"@micsolana Yeah, I hate it",4340,155,2022-11-15 09:39:59+00:00
102,elonmusk,"By the People,
For the People",245319,20019,2022-11-15 09:35:35+00:00
103,elonmusk,Twitter is All the News,423754,31107,2022-11-15 09:19:19+00:00
104,elonmusk,"@NASASpaceflight Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",10323,793,2022-11-15 08:58:48+00:00
105,elonmusk,@NASASpaceflight Test went well,24317,1096,2022-11-15 08:30:43+00:00
106,elonmusk,@ChrisJBakke @TrungTPhan @nytimes 🤩,8230,277,2022-11-15 04:09:06+00:00
107,elonmusk,@_corywynn_ @TrungTPhan 🤣,2564,87,2022-11-15 03:29:18+00:00
108,elonmusk,@TrungTPhan Why the puff piece @nytimes?,99071,8629,2022-11-15 03:27:51+00:00
109,elonmusk,@WholeMarsBlog Good question,10086,493,2022-11-14 20:42:32+00:00
110,elonmusk,@cb_doge Did seem a little Dr Evil tbh haha,61050,2214,2022-11-14 20:35:10+00:00
111,elonmusk,"@alexeheath This is an external analysis, not from Twitter. It is lower than Twitter’s published mDAU.",7632,272,2022-11-14 20:34:15+00:00
112,elonmusk,Sìì! https://t.co/Gj1wHytJxk,48129,3104,2022-11-14 20:32:17+00:00
113,elonmusk,@NASASpaceflight Full test duration of 14 engines,29686,1823,2022-11-14 18:56:24+00:00
114,elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM,131283,8261,2022-11-14 18:49:43+00:00
115,elonmusk,@nichegamer @abhiharry726 @sampullara That’s what I said!,3880,142,2022-11-14 16:01:11+00:00
116,elonmusk,"@abhiharry726 @sampullara In some parts of the world, refresh takes 30 seconds",1772,84,2022-11-14 15:34:42+00:00
117,elonmusk,@Popeska @sampullara How many serial requests are made by app to refresh timeline?,2232,108,2022-11-14 15:33:05+00:00
118,elonmusk,@sampullara And we will finally stop adding what device a tweet was written on (waste of screen space &amp; compute) below every tweet. Literally no one even knows why we did that …,30970,2744,2022-11-14 15:29:53+00:00
119,elonmusk,@sampullara Part of today will be turning off the “microservices” bloatware. Less than 20% are actually needed for Twitter to work!,9774,805,2022-11-14 15:27:45+00:00
120,elonmusk,"@sampullara I was told ~1200 RPCs independently by several engineers at Twitter, which matches # of microservices. The ex-employee is wrong.

Same app in US takes ~2 secs to refresh (too long), but ~20 secs in India, due to bad batching/verbose comms. Actually useful data transferred is low.",8259,552,2022-11-14 15:22:42+00:00
121,elonmusk,@mishaboar @MattWallace888 That is not good,4766,288,2022-11-14 14:54:03+00:00
122,elonmusk,@SeagerKershaw @KoguanLeo @hiromichimizuno This is up to the Tesla board,3529,207,2022-11-14 14:48:09+00:00
123,elonmusk,@leandroruschel @rmotta2 Can you cite specific instances of significance?,27959,2453,2022-11-14 14:19:19+00:00
124,elonmusk,@Alpsoy66 @EricFrohnhoefer @MEAInd I have Tesla covered too. Will be there part of this week.,3881,220,2022-11-14 14:17:47+00:00
125,elonmusk,@dogeofficialceo @EricFrohnhoefer @MEAInd That’s the bizarre part,3062,133,2022-11-14 14:16:36+00:00
126,elonmusk,@sselrehtaef 🤣💯,3657,92,2022-11-14 14:15:41+00:00
127,elonmusk,@helvio @rmotta2 How was it proven?,8014,551,2022-11-14 14:08:03+00:00
128,elonmusk,"@MattWallace888 Yay, he’s investing in Tesla!",83993,3604,2022-11-14 14:07:06+00:00
129,elonmusk,@TaraBull808 @MarioNawfal @KimDotcom @RealChetBLong @favrue3 @cvpayne @AlderLaneEggs @bennyjohnson @catturd2 @RealCandaceO A question worth asking,87433,8142,2022-11-14 14:03:46+00:00
130,elonmusk,@EricFrohnhoefer @MEAInd I’m ready through the list right now,3646,137,2022-11-14 14:02:42+00:00
131,elonmusk,"@EricFrohnhoefer @MEAInd True, the food is great. 

The fact that you don’t realize that there are up to 1200 “microservices” being called when someone uses the Twitter app is not great.",4574,254,2022-11-14 14:02:01+00:00
132,elonmusk,@FBIPantyRaid @ThisIsKyleR Interesting,2536,112,2022-11-14 13:58:36+00:00
133,elonmusk,@rmotta2 It’s on my list to review. How urgent is this?,137230,9224,2022-11-14 13:57:28+00:00
134,elonmusk,@SawyerMerritt That is my philosophy,50042,2740,2022-11-14 13:48:44+00:00
135,elonmusk,@jimcramer @JohnLegere Umm … no,24139,1060,2022-11-14 10:05:37+00:00
136,elonmusk,@chainsawdotcom @CL207 SpaceX Starlink bought a tiny – not large – ad package to test effectiveness of Twitter advertising in Australia &amp; Spain. Did same for FB/Insta/Google.,5786,339,2022-11-14 10:00:09+00:00
137,elonmusk,@NFTDannny @SawyerMerritt End of week,4423,205,2022-11-14 08:00:51+00:00
138,elonmusk,@Fwiz @SawyerMerritt Join Twitter!,7014,263,2022-11-14 07:59:56+00:00
139,elonmusk,@CL207 Comments in this thread had me rofl,5032,167,2022-11-14 07:44:40+00:00
140,elonmusk,@CL207 🤣🤣🔥🔥🪦🪦,40680,1484,2022-11-14 07:44:07+00:00
141,elonmusk,@SawyerMerritt Something tells me this would work 🧠,61345,3035,2022-11-14 07:40:45+00:00
142,elonmusk,@__SeriousGemini @dawallach @Jason That goes without saying 🤣,5616,425,2022-11-14 06:40:25+00:00
143,elonmusk,"@dawallach @Jason BTC will make it, but might be a long winter",27731,5406,2022-11-14 06:36:16+00:00
144,elonmusk,@johnjhacking Concerning,2492,116,2022-11-14 06:27:44+00:00
145,elonmusk,@TrungTPhan @SBF_FTX 🔥🔥,11786,357,2022-11-14 05:35:54+00:00
146,elonmusk,@ShooterMcKevin1 @MrHumanityGives Accurate assessment,2375,100,2022-11-14 04:40:49+00:00
